article id,MATERIAL_NAME,weight,quantity,material,MATERIAL_GRADE,COATING_TYPE,FINISH_TYPE,DIMENSION,ADDITIONAL_SPEC
11007912, HDC,7012,2165166.0,HDC 0.65x1080 XCV G7/7 MB O, XCV, G7/7, MB, 0.65x1080, O
11007912, HDC,6792,2165167.0,HDC 0.65x1080 XCV G7/7 MB O, XCV, G7/7, MB, 0.65x1080, O
11007912, HDC,6812,2306268.0,HDC 0.65x1080 XCV G7/7 MB O, XCV, G7/7, MB, 0.65x1080, O
11007912, HDC,6780,2328817.0,HDC 0.65x1080 XCV G7/7 MB O, XCV, G7/7, MB, 0.65x1080, O
11007912, HDC,6792,2330687.0,HDC 0.65x1080 XCV G7/7 MB O, XCV, G7/7, MB, 0.65x1080, O
11010359, CR,12300,2197778.0,CR 1.5x1410 XE360D A O, XE360D,, A, 1.5x1410, O
11011779, CR,11780,2160789.0,CR 0.7x1355 CR3 A O, CR3,, A, 0.7x1355, O
11011808, HDC,12402,2231858.0,HDC 1.5x1330 CR3-GI 60/60 MB O, CR3-GI,,, 1.5x1330, 60/60
11015501, HRP,13240,2135022.0,HRP 2x1360 HR2 O, HR2,,, 2x1360, O
11015537, HDC,14779,2231511.0,HDC 0.85x1445 26G G10/10 MB O, G, G10/10, MB, 0.85x144526, O
11016868, HDC,12230,2134770.0,HDC 1.5x1290 34G G10/10 MB O, G, G10/10, MB, 1.5x129034, O
11018437, HDC,14474,2177728.0,HDC 0.57x1445 DX54D+Z 140 MB O, DX54D+Z, 140, MB, 0.57x1445, O
11020045, CR,10740,2141151.0,CR 1.25x1088 E40 A O,,, E40 A, 1.25x1088, O
13015500, INA_DRP H320,745,585442.0,INA_DRP 2.5x51 YMAGINE H320, YMAGINE,, 2.5x51,,
20000008, CR,1075,1967587.0,2ND QUALITY CR SLIT, 2ND QUALITY,,,, SLIT
20000008, CR,1080,1967588.0,2ND QUALITY CR SLIT, 2ND QUALITY,,,, SLIT
20000008, CR,1060,1967662.0,2ND QUALITY CR SLIT, 2ND QUALITY,,,, SLIT
20000036, HDC,2025,2141622.0,2ND QUALITY HDC SLIT, 2ND QUALITY,,,, SLIT
20000036, HDC,2035,2141631.0,2ND QUALITY HDC SLIT, 2ND QUALITY,,,, SLIT
20000036, HDC,2040,2141644.0,2ND QUALITY HDC SLIT, 2ND QUALITY,,,, SLIT
36000012, HDC,10980,2089220.0,HDC 0.75x1855 XFV G7/7 MB O, XFV, G7/7, MB, 0.75x1855, O
36000105, HDC,19830,2095720.0,HDC 0.95x940 XSV G7/7 MB O, XSV, G7/7, MB, 0.95x940, O
36000107, CR,7870,2284239.0,CR 0.65x1437 X-ES A O, X-ES,, A, 0.65x1437, O
36000107, CR,7960,2292729.0,CR 0.65x1437 X-ES A O, X-ES,, A, 0.65x1437, O
36000114, CR,18920,2235139.0,CR 1.15x1317 E28 A O, E28,, A, 1.15x1317, O
36000114, CR,18560,2237593.0,CR 1.15x1317 E28 A O, E28,, A, 1.15x1317, O
36000274, HRP S460MC,9500,2118606.0,HRP 1.8x815 YMPRESS S460MC LS O, YMPRESS,, LS, 1.8x815, O
36000697, HDC,14880,2221582.0,HDC 0.75x1725 CR300LA-GI 60/60 MB O, CR300LA-GI,,, 0.75x1725, 60/60
